campaign,scenario_id,scenario_family,planner_key,seed_count,success_mean,success_ci_low,success_ci_high,collisions_mean,collisions_ci_low,collisions_ci_high,snqi_mean,snqi_ci_low,snqi_ci_high
issue_1454_s10_h500_candidates_2026-05-23,classic_group_crossing_high,,hybrid_rule_v3_fast_progress,10,0.8,0.5,1.0,0.0,0.0,0.0,-0.2199480330004171,-0.32810352799237,-0.09741549477742749
issue_1454_s10_h500_candidates_2026-05-23,classic_group_crossing_low,,hybrid_rule_v3_fast_progress,10,0.9,0.7,1.0,0.0,0.0,0.0,-0.03151518700793181,-0.14018245182419015,0.06733587949851663
issue_1454_s10_h500_candidates_2026-05-23,classic_group_crossing_medium,,hybrid_rule_v3_fast_progress,10,0.9,0.7,1.0,0.0,0.0,0.0,-0.10440825430692917,-0.23113113745182254,0.02786950901719262
issue_1454_s10_h500_candidates_2026-05-23,classic_head_on_corridor_low,,hybrid_rule_v3_fast_progress,10,0.9,0.6,1.0,0.1,0.0,0.4,-0.1561204130115558,-0.26481368147022283,-0.039766510962447675
issue_1454_s10_h500_candidates_2026-05-23,classic_head_on_corridor_medium,,hybrid_rule_v3_fast_progress,10,0.9,0.6,1.0,0.1,0.0,0.4,-0.30090713829327387,-0.5044927151861582,-0.13506447607357652
issue_1454_s10_h500_candidates_2026-05-23,classic_merging_low,,hybrid_rule_v3_fast_progress,10,0.7,0.4,1.0,0.0,0.0,0.0,-0.21398772240056255,-0.3557971946474769,-0.08301360328466852
issue_1454_s10_h500_candidates_2026-05-23,classic_merging_medium,,hybrid_rule_v3_fast_progress,10,0.7,0.4,1.0,0.2,0.0,0.4,-0.37944128233847413,-0.5012215543351989,-0.26230432349145255
issue_1454_s10_h500_candidates_2026-05-23,classic_overtaking_low,,hybrid_rule_v3_fast_progress,10,0.8,0.5475000000000007,1.0,0.0,0.0,0.0,-0.13444001895876537,-0.26980554730902445,-0.006216689393254137
issue_1454_s10_h500_candidates_2026-05-23,classic_overtaking_medium,,hybrid_rule_v3_fast_progress,10,0.8,0.5475000000000007,1.0,0.0,0.0,0.0,-0.15593402291457686,-0.2936186143688079,-0.02838567543186085
issue_1454_s10_h500_candidates_2026-05-23,classic_realworld_double_bottleneck_high,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.14056885765682053,-0.20214826553314977,-0.068770024677979
issue_1454_s10_h500_candidates_2026-05-23,classic_station_platform_medium,,hybrid_rule_v3_fast_progress,10,0.0,0.0,0.0,0.4,0.1,0.7,-0.4600716427232142,-0.5474519523520054,-0.375404438941559
issue_1454_s10_h500_candidates_2026-05-23,classic_t_intersection_low,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.05069213836094753,-0.026700868396791096,0.10124821540771328
issue_1454_s10_h500_candidates_2026-05-23,classic_t_intersection_medium,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.022661256375221484,-0.05002696553858745,0.08121576028323063
issue_1454_s10_h500_candidates_2026-05-23,classic_urban_crossing_medium,,hybrid_rule_v3_fast_progress,10,0.8,0.5,1.0,0.0,0.0,0.0,0.03416100430027215,-0.07484000059014285,0.11254105389799385
issue_1454_s10_h500_candidates_2026-05-23,francis2023_accompanying_peer,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.10846644074999401,0.10720084747777893,0.10958197676184966
issue_1454_s10_h500_candidates_2026-05-23,francis2023_blind_corner,,hybrid_rule_v3_fast_progress,10,0.9,0.6,1.0,0.0,0.0,0.0,-0.1503637203960914,-0.16068858007274772,-0.13220188317030301
issue_1454_s10_h500_candidates_2026-05-23,francis2023_circular_crossing,,hybrid_rule_v3_fast_progress,10,0.9,0.7,1.0,0.1,0.0,0.3,0.032492076274557885,-0.04639128539143932,0.08326239963868778
issue_1454_s10_h500_candidates_2026-05-23,francis2023_crowd_navigation,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.330401535963543,-0.4590540680491266,-0.19345462605465816
issue_1454_s10_h500_candidates_2026-05-23,francis2023_down_path,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.10957905782498252,0.10829828862616499,0.11070501979328165
issue_1454_s10_h500_candidates_2026-05-23,francis2023_entering_elevator,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.0924810575785807,0.08703403643499276,0.09742373327550366
issue_1454_s10_h500_candidates_2026-05-23,francis2023_entering_room,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.09885587294146166,0.09513211156358925,0.10277108785551413
issue_1454_s10_h500_candidates_2026-05-23,francis2023_exiting_elevator,,hybrid_rule_v3_fast_progress,10,0.8,0.5,1.0,0.0,0.0,0.0,-0.10588348632774396,-0.2342857511696492,0.0015428894866478604
issue_1454_s10_h500_candidates_2026-05-23,francis2023_exiting_room,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.09355754975704451,0.08878461481785299,0.09687641094714598
issue_1454_s10_h500_candidates_2026-05-23,francis2023_following_human,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.10846644074999401,0.10720084747777893,0.10958197676184966
issue_1454_s10_h500_candidates_2026-05-23,francis2023_frontal_approach,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.018441377224439264,-0.03200486358918304,-0.002432532697472614
issue_1454_s10_h500_candidates_2026-05-23,francis2023_intersection_no_gesture,,hybrid_rule_v3_fast_progress,10,0.9,0.6,1.0,0.0,0.0,0.0,0.08645990688247786,0.02675036402167279,0.10786060871572813
issue_1454_s10_h500_candidates_2026-05-23,francis2023_intersection_proceed,,hybrid_rule_v3_fast_progress,10,0.9,0.6,1.0,0.0,0.0,0.0,0.08645990688247786,0.02675036402167279,0.10786060871572813
issue_1454_s10_h500_candidates_2026-05-23,francis2023_intersection_wait,,hybrid_rule_v3_fast_progress,10,0.9,0.6,1.0,0.0,0.0,0.0,0.08645990688247786,0.02675036402167279,0.10786060871572813
issue_1454_s10_h500_candidates_2026-05-23,francis2023_join_group,,hybrid_rule_v3_fast_progress,10,0.7,0.4,0.9,0.0,0.0,0.0,-0.3616346568172489,-0.4435121863231083,-0.29509025305269015
issue_1454_s10_h500_candidates_2026-05-23,francis2023_leading_human,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.10846644074999401,0.10720084747777893,0.10958197676184966
issue_1454_s10_h500_candidates_2026-05-23,francis2023_leave_group,,hybrid_rule_v3_fast_progress,10,0.6,0.3,0.9,0.0,0.0,0.0,-0.4408515871794284,-0.5096315141716558,-0.38274313809437877
issue_1454_s10_h500_candidates_2026-05-23,francis2023_narrow_doorway,,hybrid_rule_v3_fast_progress,10,0.0,0.0,0.0,0.0,0.0,0.0,-0.09491099136070058,-0.09491099136070058,-0.09491099136070058
issue_1454_s10_h500_candidates_2026-05-23,francis2023_narrow_hallway,,hybrid_rule_v3_fast_progress,10,0.9,0.6,1.0,0.0,0.0,0.0,-0.1912677343602081,-0.2054999263300618,-0.16230327533584568
issue_1454_s10_h500_candidates_2026-05-23,francis2023_parallel_traffic,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.006105831910988175,-0.01887976090256267,0.00578887789850494
issue_1454_s10_h500_candidates_2026-05-23,francis2023_pedestrian_obstruction,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,-0.06751278531130216,-0.1487027024241404,0.03164607393621443
issue_1454_s10_h500_candidates_2026-05-23,francis2023_pedestrian_overtaking,,hybrid_rule_v3_fast_progress,10,1.0,1.0,1.0,0.0,0.0,0.0,0.09479140199205209,0.09313993323343579,0.09620508303396166
