"step","topology_status","hypothesis_count","hypothesis_ids","selected_hypothesis_id","selected_score","primary_route_remaining_m","best_alternative_id","best_alternative_remaining_m","primary_minus_best_alternative_remaining_m","missing_trace_fields"
43,"ok",2,"primary_route;masked_cell_87_79","","",10.642640845706989,"masked_cell_87_79",11.442640857627918,-0.800000011920929,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
44,"ok",2,"primary_route;masked_cell_87_79","","",10.642640845706989,"masked_cell_87_79",11.442640857627918,-0.800000011920929,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
45,"ok",2,"primary_route;masked_cell_87_79","","",10.559798131997919,"masked_cell_87_79",11.359798143918848,-0.800000011920929,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
46,"ok",2,"primary_route;masked_cell_87_79","","",10.559798131997919,"masked_cell_87_79",11.359798143918848,-0.800000011920929,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
47,"ok",2,"primary_route;masked_cell_87_79","","",10.476955418288846,"masked_cell_87_79",11.276955430209775,-0.800000011920929,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
48,"ok",2,"primary_route;masked_cell_95_79","","",10.476955418288846,"masked_cell_95_79",11.442640857627918,-0.9656854393390724,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
49,"ok",2,"primary_route;masked_cell_95_79","","",10.394112704579776,"masked_cell_95_79",11.359798143918848,-0.9656854393390724,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
50,"ok",2,"primary_route;masked_cell_95_79","","",10.394112704579776,"masked_cell_95_79",11.476955433190007,-1.0828427286102311,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
51,"ok",2,"primary_route;masked_cell_95_79","","",10.311269990870702,"masked_cell_95_79",11.394112719480937,-1.0828427286102347,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
52,"ok",2,"primary_route;masked_cell_79_87","primary_route",8.89960772509917,4.448528203712091,"masked_cell_79_87",10.311269990870702,-5.862741787158611,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
53,"ok",2,"primary_route;masked_cell_79_87","","",4.248528200731859,"masked_cell_79_87",10.345584566432793,-6.097056365700934,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
54,"ok",2,"primary_route;masked_cell_79_87","","",4.248528200731859,"masked_cell_79_87",10.394112704579776,-6.145584503847917,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
55,"ok",2,"primary_route;masked_cell_79_87","primary_route",8.888380883583123,4.048528197751627,"masked_cell_79_87",10.311269990870702,-6.262741793119075,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
56,"ok",2,"primary_route;masked_cell_79_87","primary_route",9.140662084230032,4.048528197751627,"masked_cell_79_87",10.428427280141864,-6.379899082390238,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
57,"ok",2,"primary_route;masked_cell_80_87","","",3.848528194771395,"masked_cell_80_87",10.345584566432793,-6.497056371661397,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
58,"ok",2,"primary_route;masked_cell_79_87","","",3.848528194771395,"masked_cell_79_87",10.345584566432793,-6.497056371661397,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
59,"ok",2,"primary_route;masked_cell_80_87","primary_route",9.131041723050364,3.6485281917911627,"masked_cell_80_87",10.428427280141864,-6.779899088350701,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
60,"ok",2,"primary_route;masked_cell_80_87","primary_route",8.834569665412804,3.6485281917911627,"masked_cell_80_87",10.428427280141864,-6.779899088350701,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
61,"ok",2,"primary_route;masked_cell_79_87","primary_route",9.084426718006098,3.4485281888109305,"masked_cell_79_87",10.345584566432793,-6.897056377621862,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
62,"ok",2,"primary_route;masked_cell_79_87","primary_route",8.857742026360496,3.4485281888109305,"masked_cell_79_87",10.17989913901465,-6.7313709502037185,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
63,"ok",2,"primary_route;masked_cell_79_87","primary_route",8.854319196480269,3.4485281888109305,"masked_cell_79_87",10.17989913901465,-6.7313709502037185,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
64,"ok",2,"primary_route;masked_cell_79_87","primary_route",8.850717807385193,3.4485281888109305,"masked_cell_79_87",11.097056440206737,-7.648528251395806,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
65,"ok",2,"primary_route;masked_cell_80_87","","",3.4485281888109305,"masked_cell_80_87",11.097056440206737,-7.648528251395806,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
66,"ok",2,"primary_route;masked_cell_80_87","","",2.9656854691413947,"masked_cell_80_87",11.17989915391581,-8.214213684774416,"per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
67,"insufficient_hypotheses",1,"primary_route","","",2.7656854661611625,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
68,"insufficient_hypotheses",1,"primary_route","","",2.9656854691413947,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
69,"insufficient_hypotheses",1,"primary_route","","",2.9656854691413947,"","","","per_hypothesis_selection_scores_and_rejection_reasons_not_logged"
