planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
sacadrl,sacadrl,bottleneck,40,0.0000,0.4000,0.0750,0.3250,0.4000,1.4500,1.0000,1.0000,0.0000,,'-0.2163
sacadrl,sacadrl,circular_crossing,10,0.0000,0.1000,0.1000,0.0000,0.1000,0.4000,1.0000,1.0000,0.0837,,'-0.1518
sacadrl,sacadrl,cross_trap,30,0.0000,0.1667,0.1667,0.0000,0.1667,2.4000,1.0000,1.0000,0.0993,,'-0.1677
sacadrl,sacadrl,crossing,10,0.0000,0.9000,0.0000,0.9000,0.9000,0.0000,1.0000,1.0000,0.0101,,'-0.9145
sacadrl,sacadrl,crowd_navigation,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.1114,,'-0.1954
sacadrl,sacadrl,doorway,30,0.0000,1.0000,0.6333,0.3667,1.0000,5.0333,1.0000,1.0000,0.0189,,'-0.3606
sacadrl,sacadrl,down_path,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.6180
sacadrl,sacadrl,entering_elevator,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2177
sacadrl,sacadrl,entering_room,10,0.0000,0.9000,0.0000,0.9000,0.9000,0.0000,1.0000,1.0000,0.0000,,'-0.2115
sacadrl,sacadrl,exiting_elevator,10,0.5000,0.1000,0.0000,0.1000,0.1000,18.0000,0.9750,1.0000,0.0000,,'-0.3200
sacadrl,sacadrl,exiting_room,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1056
sacadrl,sacadrl,following_human,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0232,,'-0.6733
sacadrl,sacadrl,frontal_approach,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.7661
sacadrl,sacadrl,group_crossing,30,0.0000,0.1000,0.0667,0.0333,0.1000,3.9333,1.0000,1.0000,0.0219,,'-0.2071
sacadrl,sacadrl,head_on_corridor,20,0.0000,0.1000,0.0000,0.1000,0.1000,0.6000,1.0000,1.0000,0.0336,,'-0.3425
sacadrl,sacadrl,intersection_no_gesture,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1140
sacadrl,sacadrl,intersection_proceed,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1140
sacadrl,sacadrl,intersection_wait,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1140
sacadrl,sacadrl,join_group,10,0.0000,1.0000,1.0000,0.0000,1.0000,6.9000,1.0000,1.0000,0.0194,,'-0.3294
sacadrl,sacadrl,leading_human,10,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0199,,'-0.4877
