episode_id,scenario_id,planner_key,kinematics,algo,seed,repeat_index,success,collision,near_miss,time_to_goal,snqi
francis2023_exiting_elevator--111--cb20626493fc8522,francis2023_exiting_elevator,goal,differential_drive,goal,111,0,0.0,1.0,10.0,1.0,-0.346536084689447
francis2023_exiting_elevator--112--0106aaa021c1b9cf,francis2023_exiting_elevator,goal,differential_drive,goal,112,0,0.0,1.0,11.0,1.0,-0.3789499857202363
francis2023_exiting_elevator--113--959680cb832f5229,francis2023_exiting_elevator,goal,differential_drive,goal,113,0,0.0,1.0,10.0,1.0,-0.38932192254111064
francis2023_exiting_elevator--111--6f1b283d21ae3e9d,francis2023_exiting_elevator,orca,differential_drive,orca,111,0,1.0,0.0,10.0,0.19333333333333333,-0.04855265645738513
francis2023_exiting_elevator--112--b4dd012e0c6d6a21,francis2023_exiting_elevator,orca,differential_drive,orca,112,0,1.0,0.0,10.0,0.18666666666666668,-0.11035983877839908
francis2023_exiting_elevator--113--2984fe245ca8420a,francis2023_exiting_elevator,orca,differential_drive,orca,113,0,1.0,0.0,11.0,0.20333333333333334,-0.424219513960569
francis2023_exiting_elevator--111--2eb9bc273865f15e,francis2023_exiting_elevator,ppo,differential_drive,ppo,111,0,1.0,0.0,0.0,0.11333333333333333,-0.03567113550542381
francis2023_exiting_elevator--112--f1fc78433350a78d,francis2023_exiting_elevator,ppo,differential_drive,ppo,112,0,1.0,0.0,0.0,0.105,-0.0924222147158596
francis2023_exiting_elevator--113--03295d70b6c1086b,francis2023_exiting_elevator,ppo,differential_drive,ppo,113,0,1.0,0.0,0.0,0.18833333333333332,-0.296680165922645
francis2023_exiting_elevator--111--e3a043af8467de18,francis2023_exiting_elevator,prediction_planner,differential_drive,prediction_planner,111,0,1.0,0.0,43.0,0.155,-0.1325110485080254
francis2023_exiting_elevator--112--57b00233cc2c56f7,francis2023_exiting_elevator,prediction_planner,differential_drive,prediction_planner,112,0,1.0,0.0,33.0,0.14333333333333334,-0.13140375360881723
francis2023_exiting_elevator--113--bbf93b2655fb8e1f,francis2023_exiting_elevator,prediction_planner,differential_drive,prediction_planner,113,0,1.0,0.0,25.0,0.13666666666666666,-0.13077101366641256
francis2023_exiting_elevator--111--cf4e52569243f69b,francis2023_exiting_elevator,sacadrl,differential_drive,sacadrl,111,0,1.0,0.0,11.0,0.17833333333333334,-0.19388644890101947
francis2023_exiting_elevator--112--1ee956c935ca3af9,francis2023_exiting_elevator,sacadrl,differential_drive,sacadrl,112,0,1.0,0.0,16.0,0.17166666666666666,-0.11629919013104427
francis2023_exiting_elevator--113--e84495263bcde6d0,francis2023_exiting_elevator,sacadrl,differential_drive,sacadrl,113,0,0.0,1.0,0.0,1.0,-0.4532227081461603
francis2023_exiting_elevator--111--6836b364d25bc854,francis2023_exiting_elevator,social_force,differential_drive,social_force,111,0,0.0,1.0,0.0,1.0,-0.8997809606495122
francis2023_exiting_elevator--112--f0ce81a9cb1c5c56,francis2023_exiting_elevator,social_force,differential_drive,social_force,112,0,0.0,1.0,0.0,1.0,-0.8708862442401167
francis2023_exiting_elevator--113--f850147159ff9356,francis2023_exiting_elevator,social_force,differential_drive,social_force,113,0,0.0,1.0,0.0,1.0,-0.8276779274143246
francis2023_exiting_elevator--111--7bf65b09ee9600d5,francis2023_exiting_elevator,socnav_sampling,differential_drive,socnav_sampling,111,0,0.0,1.0,3.0,1.0,-0.2480649980498692
francis2023_exiting_elevator--112--ee9dc5b0b43bee88,francis2023_exiting_elevator,socnav_sampling,differential_drive,socnav_sampling,112,0,0.0,1.0,3.0,1.0,-0.2480649980498692
francis2023_exiting_elevator--113--5ba19b9103064890,francis2023_exiting_elevator,socnav_sampling,differential_drive,socnav_sampling,113,0,0.0,1.0,3.0,1.0,-0.2725161411328092
francis2023_exiting_room--111--eb4a54087f58fb92,francis2023_exiting_room,goal,differential_drive,goal,111,0,1.0,0.0,0.0,0.275,0.1643579358501347
francis2023_exiting_room--112--008ca370d549c919,francis2023_exiting_room,goal,differential_drive,goal,112,0,1.0,0.0,0.0,0.2683333333333333,0.16499067579253937
francis2023_exiting_room--113--2024a407f4a6f9a0,francis2023_exiting_room,goal,differential_drive,goal,113,0,1.0,0.0,0.0,0.2683333333333333,0.16499067579253937
francis2023_exiting_room--111--2dd5dd6ec3c46080,francis2023_exiting_room,orca,differential_drive,orca,111,0,1.0,0.0,0.0,0.15166666666666667,0.1760636247846211
francis2023_exiting_room--112--fd2aa2d29ad88dbc,francis2023_exiting_room,orca,differential_drive,orca,112,0,1.0,0.0,0.0,0.14833333333333334,0.1698498440050644
francis2023_exiting_room--113--2d333b223512fcb0,francis2023_exiting_room,orca,differential_drive,orca,113,0,1.0,0.0,0.0,0.14833333333333334,0.14682788144652129
francis2023_exiting_room--111--27d13eac42627dee,francis2023_exiting_room,ppo,differential_drive,ppo,111,0,1.0,0.0,0.0,0.15,0.0518590989890111
francis2023_exiting_room--112--fa5f346f85e42899,francis2023_exiting_room,ppo,differential_drive,ppo,112,0,1.0,0.0,0.0,0.14666666666666667,0.05570217190963911
francis2023_exiting_room--113--f67962f8815323af,francis2023_exiting_room,ppo,differential_drive,ppo,113,0,1.0,0.0,0.0,0.14666666666666667,0.011026795522424693
francis2023_exiting_room--111--5e14916c42c33b23,francis2023_exiting_room,prediction_planner,differential_drive,prediction_planner,111,0,1.0,0.0,0.0,0.19166666666666668,0.17226718513019307
