variant,planner,success_rate,collision_rate,min_clearance,mean_clearance,near_miss_rate,comfort_exposure_mean,time_to_goal_norm
integration_timestep__dt_0_20,orca,0.10416666666666667,0.22916666666666666,2.3756286534359927,6.670662806937688,0.028605194341073725,0.0346936509776266,0.8886574074074073
observation_noise__none_nominal,baseline_social_force,0.006944444444444444,0.2847222222222222,2.9715849532856877,6.997312795616054,0.0297195402147882,0.033893221869428766,0.8921874999999999
observation_noise__none_nominal,goal_seek,0.125,0.4930555555555556,1.7138457920405918,6.68142396889829,0.040336161896308925,0.04017246288061896,0.7362847222222224
observation_noise__none_nominal,orca,0.10416666666666667,0.2638888888888889,2.3716736663665405,6.70702711078291,0.026420438064234286,0.031605817482974134,0.8893518518518518
observation_noise__pedestrian_dropout_low,baseline_social_force,0.0,0.2916666666666667,2.9686297003276017,7.002940661786598,0.03091447790622214,0.03368991165912356,0.8885995370370368
observation_noise__pedestrian_dropout_low,goal_seek,0.125,0.4930555555555556,1.7227731552892862,6.672891764132438,0.03556464870226703,0.0387505153715604,0.7387152777777779
observation_noise__pedestrian_dropout_low,orca,0.09722222222222222,0.3055555555555556,2.297478784559916,6.708433547437341,0.02891669192499513,0.032071047331946725,0.8798032407407407
observation_noise__pose_heading_low,baseline_social_force,0.020833333333333332,0.24305555555555555,2.957653924066333,6.975000865018881,0.031879977156482234,0.033915502770412526,0.8924768518518518
observation_noise__pose_heading_low,goal_seek,0.125,0.4930555555555556,1.6983997756869191,6.672268431746227,0.03880444812063978,0.040344607931549606,0.7354166666666667
observation_noise__pose_heading_low,orca,0.1111111111111111,0.2222222222222222,2.3781379543014993,6.741243729051151,0.02556700256900899,0.03146875946741761,0.9008680555555555
social_force_speed_archetypes__homogeneous_standard_nominal,baseline_social_force,0.0,0.2916666666666667,2.951618184182854,6.979412525228158,0.030970076499922457,0.0329883033643762,0.8864004629629628
social_force_speed_archetypes__homogeneous_standard_nominal,goal_seek,0.125,0.4930555555555556,1.7295465397579464,6.689308216395876,0.03452013355140507,0.03864215646352573,0.7381944444444446
social_force_speed_archetypes__homogeneous_standard_nominal,orca,0.10416666666666667,0.25,2.375357853406484,6.705092368708748,0.027755830823319973,0.032070304801958355,0.8932870370370369
social_force_speed_archetypes__mixed_balanced,baseline_social_force,0.0,0.2777777777777778,2.9439902952727137,6.951650831017707,0.03239309215809838,0.032892244323448686,0.8865162037037035
social_force_speed_archetypes__mixed_balanced,goal_seek,0.11805555555555555,0.5138888888888888,1.659614770770687,6.669561613784564,0.036479896343677855,0.03842899378277683,0.7241319444444445
social_force_speed_archetypes__mixed_balanced,orca,0.1111111111111111,0.2847222222222222,2.3271296801128134,6.665496833105947,0.030299533891958844,0.030832410761383322,0.8880787037037038
social_force_speed_archetypes__rush_hour,baseline_social_force,0.0,0.2847222222222222,2.9005971723759507,6.944620492454447,0.033714630647695115,0.03292150498116889,0.8826388888888889
social_force_speed_archetypes__rush_hour,goal_seek,0.11805555555555555,0.5208333333333334,1.6329123699363073,6.6612515925881155,0.03827611836785458,0.03813964716257902,0.7268518518518519
social_force_speed_archetypes__rush_hour,orca,0.11805555555555555,0.2708333333333333,2.2808796062355934,6.65013213938543,0.03300539357475321,0.0313508543888234,0.8862268518518519
