scenario_id,planner_key,planner_group,seed_count,success_mean,success_std,success_range,collision_mean,collision_std,near_misses_mean,near_misses_std,time_to_goal_norm_mean,time_to_goal_norm_std,snqi_mean,snqi_std
classic_head_on_corridor_medium,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.9,0.3,1.0,0.1,0.3,22.0,17.492856,0.710219,0.124497,-0.300907,0.278921
classic_head_on_corridor_medium,hybrid_rule_v3_fast_progress_static_escape_continuous,candidate,10,0.9,0.3,1.0,0.1,0.3,19.2,14.406943,0.70292,0.120595,-0.250687,0.155706
classic_head_on_corridor_medium,ppo,core,10,0.9,0.3,1.0,0.1,0.3,4.2,4.467662,0.587956,0.14407,-0.127817,0.081107
classic_head_on_corridor_medium,scenario_adaptive_hybrid_orca_v1,candidate,10,0.9,0.3,1.0,0.1,0.3,22.0,17.492856,0.710219,0.124497,-0.300907,0.278921
classic_head_on_corridor_medium,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.9,0.3,1.0,0.1,0.3,22.0,17.492856,0.710219,0.124497,-0.300907,0.278921
classic_overtaking_low,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.9,0.3,1.0,0.1,0.3,28.0,43.065067,0.671309,0.149341,-0.136694,0.181825
classic_overtaking_low,scenario_adaptive_hybrid_orca_v1,candidate,10,0.9,0.3,1.0,0.1,0.3,28.0,43.065067,0.671309,0.149341,-0.136694,0.181825
classic_overtaking_low,scenario_adaptive_hybrid_orca_v2_collision_guard,candidate,10,0.9,0.3,1.0,0.1,0.3,28.0,43.065067,0.671309,0.149341,-0.136694,0.181825
classic_t_intersection_low,ppo,core,10,0.9,0.3,1.0,0.1,0.3,3.1,6.236185,0.504192,0.16846,-0.148924,0.126403
classic_t_intersection_medium,ppo,core,10,0.9,0.3,1.0,0.1,0.3,2.4,4.882622,0.535783,0.159515,-0.148916,0.128249
classic_urban_crossing_medium,orca,core,10,0.9,0.3,1.0,0.1,0.3,0.6,1.8,0.710619,0.099576,0.078263,0.12222
francis2023_circular_crossing,hybrid_rule_v3_fast_progress,candidate,10,0.9,0.3,1.0,0.1,0.3,0.5,1.204159,0.676923,0.114112,0.032492,0.121664
francis2023_circular_crossing,hybrid_rule_v3_fast_progress_static_escape,candidate,10,0.9,0.3,1.0,0.1,0.3,0.5,1.204159,0.676923,0.114112,0.032492,0.121664
