planner_key,algo,scenario_family,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
ppo,ppo,blind_corner,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2512
ppo,ppo,bottleneck,12,0.0000,0.1667,0.0000,0.0000,0.0000,6.3333,1.0000,1.0000,0.0000,,'-0.3832
ppo,ppo,circular_crossing,3,0.6667,0.3333,0.0000,0.0000,0.0000,0.6667,0.6967,1.0000,0.1964,,'-0.1323
ppo,ppo,cross_trap,9,0.0000,0.1111,0.0000,0.0000,0.0000,7.0000,1.0000,0.9681,0.0782,,'-0.3705
ppo,ppo,crossing,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0113,,'-0.2194
ppo,ppo,crowd_navigation,3,0.0000,0.0000,0.0000,0.0000,0.0000,15.0000,1.0000,1.0000,0.0830,,'-0.5435
ppo,ppo,doorway,9,0.4444,0.2222,0.0000,0.0000,0.0000,11.8889,0.9378,1.0000,0.0210,,'-0.8936
ppo,ppo,down_path,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1070
ppo,ppo,entering_elevator,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4433,1.0000,0.0000,,'-0.0938
ppo,ppo,entering_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.7467,1.0000,0.0000,,'-0.0919
ppo,ppo,exiting_elevator,3,1.0000,0.0000,0.0000,0.0000,0.0000,11.0000,0.5467,1.0000,0.0000,,'-0.2959
ppo,ppo,exiting_room,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.8233,1.0000,0.0000,,'-0.0951
ppo,ppo,following_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1005
ppo,ppo,frontal_approach,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1027
ppo,ppo,group_crossing,9,0.7778,0.0000,0.0000,0.0000,0.0000,1.1111,0.8689,1.0000,0.0179,,'-0.1560
ppo,ppo,head_on_corridor,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.1667,1.0000,1.0000,0.0221,,'-0.2378
ppo,ppo,intersection_no_gesture,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,1.0000,0.0000,,'-0.2399
ppo,ppo,intersection_proceed,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,1.0000,0.0000,,'-0.2392
ppo,ppo,intersection_wait,3,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.9967,1.0000,0.0000,,'-0.2392
ppo,ppo,join_group,3,1.0000,0.0000,0.0000,0.0000,0.0000,10.3333,0.5533,1.0000,0.0241,,'-0.2496
ppo,ppo,leading_human,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.1011
ppo,ppo,leave_group,3,1.0000,0.0000,0.0000,0.0000,0.0000,21.0000,0.5500,1.0000,0.0621,,'-0.4028
ppo,ppo,merging,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.8333,1.0000,0.8521,0.0506,,'-0.2481
ppo,ppo,narrow_doorway,3,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2239
ppo,ppo,narrow_hallway,3,0.0000,0.6667,0.0000,0.0000,0.0000,0.3333,1.0000,1.0000,0.0216,,'-0.8555
ppo,ppo,overtaking,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0375,,'-0.3456
ppo,ppo,parallel_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,2.6667,1.0000,1.0000,0.0700,,'-0.2849
ppo,ppo,pedestrian_obstruction,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.1077
ppo,ppo,pedestrian_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0800,,'-0.1235
ppo,ppo,perpendicular_traffic,3,0.0000,0.0000,0.0000,0.0000,0.0000,5.3333,1.0000,1.0000,0.0081,,'-0.4478
ppo,ppo,robot_crowding,3,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.8967,0.8717,0.1516,,'-0.3745
ppo,ppo,robot_overtaking,3,0.0000,0.0000,0.0000,0.0000,0.0000,7.3333,1.0000,1.0000,0.0000,,'-0.2848
ppo,ppo,station_platform,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.8752,0.0082,,'-0.2490
ppo,ppo,t_intersection,6,0.0000,0.1667,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0425,,'-0.3366
prediction_planner,prediction_planner,accompanying_peer,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0100,,'-0.0970
prediction_planner,prediction_planner,blind_corner,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,,'-0.0949
prediction_planner,prediction_planner,bottleneck,12,0.0000,0.2500,0.0000,0.0000,0.0000,5.5833,1.0000,1.0000,0.0004,,'-0.1639
prediction_planner,prediction_planner,circular_crossing,3,0.6667,0.3333,0.0000,0.0000,0.0000,1.3333,0.8267,1.0000,0.1925,,'-0.0217
prediction_planner,prediction_planner,cross_trap,9,0.0000,0.3333,0.0000,0.0000,0.0000,1.1111,1.0000,1.0000,0.0775,,'-0.1371
prediction_planner,prediction_planner,crossing,3,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0119,,'-0.1039
prediction_planner,prediction_planner,crowd_navigation,3,0.0000,0.0000,0.0000,0.0000,0.0000,24.3333,1.0000,1.0000,0.0833,,'-0.4837
