# AI-GENERATED NEEDS-REVIEW
run_label,job_id,scenario_matrix_hash,planner_key,algo,scenario_family,scenario_id,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
confirm,13268,c10df617a87c,goal,goal,intersection_wait,francis2023_intersection_wait,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3861,1.0000,0.0000,,0.1538
confirm,13268,c10df617a87c,goal,goal,join_group,francis2023_join_group,3,0.0000,1.0000,1.0000,0.0000,1.0000,5.0000,1.0000,1.0000,0.0097,,'-0.2822
confirm,13268,c10df617a87c,goal,goal,leading_human,francis2023_leading_human,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5356,1.0000,0.0031,,0.1391
confirm,13268,c10df617a87c,goal,goal,leave_group,francis2023_leave_group,3,0.0000,1.0000,1.0000,0.0000,1.0000,7.3333,1.0000,1.0000,0.0000,,'-0.3347
confirm,13268,c10df617a87c,goal,goal,merging,classic_merging_low,3,0.0000,1.0000,0.0000,1.0000,1.0000,44.6667,1.0000,0.9856,0.0040,,'-0.5949
confirm,13268,c10df617a87c,goal,goal,merging,classic_merging_medium,3,0.0000,1.0000,0.0000,1.0000,1.0000,46.3333,1.0000,0.9856,0.0099,,'-0.6595
confirm,13268,c10df617a87c,goal,goal,narrow_doorway,francis2023_narrow_doorway,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2006
confirm,13268,c10df617a87c,goal,goal,narrow_hallway,francis2023_narrow_hallway,3,0.0000,1.0000,1.0000,0.0000,1.0000,5.0000,1.0000,1.0000,0.0138,,'-0.2770
confirm,13268,c10df617a87c,goal,goal,overtaking,classic_overtaking_low,3,0.3333,0.6667,0.0000,0.6667,0.6667,0.0000,0.8817,0.9989,0.0086,,'-0.1708
confirm,13268,c10df617a87c,goal,goal,overtaking,classic_overtaking_medium,3,0.3333,0.6667,0.0000,0.6667,0.6667,5.3333,0.8817,0.9989,0.0050,,'-0.2485
confirm,13268,c10df617a87c,goal,goal,parallel_traffic,francis2023_parallel_traffic,3,1.0000,0.0000,0.0000,0.0000,0.0000,38.6667,0.5528,1.0000,0.0338,,'-0.1428
confirm,13268,c10df617a87c,goal,goal,pedestrian_obstruction,francis2023_pedestrian_obstruction,3,0.0000,1.0000,1.0000,0.0000,1.0000,8.0000,1.0000,1.0000,0.0160,,'-0.3252
confirm,13268,c10df617a87c,goal,goal,pedestrian_overtaking,francis2023_pedestrian_overtaking,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5528,1.0000,0.0170,,0.1283
confirm,13268,c10df617a87c,goal,goal,perpendicular_traffic,francis2023_perpendicular_traffic,3,0.6667,0.3333,0.3333,0.0000,0.3333,2.3333,0.5900,1.0000,0.0041,,'-0.0072
confirm,13268,c10df617a87c,goal,goal,robot_crowding,francis2023_robot_crowding,3,0.0000,1.0000,1.0000,0.0000,1.0000,10.3333,1.0000,1.0000,0.1758,,'-0.4638
confirm,13268,c10df617a87c,goal,goal,robot_overtaking,francis2023_robot_overtaking,3,0.0000,1.0000,1.0000,0.0000,1.0000,8.3333,1.0000,1.0000,0.0528,,'-0.3427
confirm,13268,c10df617a87c,goal,goal,station_platform,classic_station_platform_medium,3,0.0000,1.0000,1.0000,0.0000,1.0000,11.0000,1.0000,1.0000,0.0140,,'-0.4876
confirm,13268,c10df617a87c,goal,goal,t_intersection,classic_t_intersection_low,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0310,,'-0.2995
confirm,13268,c10df617a87c,goal,goal,t_intersection,classic_t_intersection_medium,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0211,,'-0.2977
confirm,13268,c10df617a87c,orca,orca,accompanying_peer,francis2023_accompanying_peer,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2850,1.0000,0.0058,,0.1575
confirm,13268,c10df617a87c,orca,orca,blind_corner,francis2023_blind_corner,3,0.3333,0.6667,0.0000,0.6667,0.6667,5.3333,0.8217,0.9766,0.0000,,'-0.3122
confirm,13268,c10df617a87c,orca,orca,bottleneck,classic_bottleneck_high,3,0.6667,0.3333,0.0000,0.3333,0.3333,44.0000,0.6022,1.0000,0.0000,,'-0.6646
confirm,13268,c10df617a87c,orca,orca,bottleneck,classic_bottleneck_low,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2006,1.0000,0.0000,,0.1358
confirm,13268,c10df617a87c,orca,orca,bottleneck,classic_bottleneck_medium,3,0.3333,0.6667,0.0000,0.6667,0.6667,7.3333,0.7811,1.0000,0.0000,,'-0.9044
