planner_key,algo,scenario_family,use_case,context,speed_regime,maneuver_type,episodes,success_mean,collisions_mean,ped_collision_count_mean,obstacle_collision_count_mean,total_collision_count_mean,near_misses_mean,time_to_goal_norm_mean,path_efficiency_mean,comfort_exposure_mean,jerk_mean,snqi_mean
ppo,ppo,exiting_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1356,0.8951,0.0000,,'-0.1416
ppo,ppo,exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1478,1.0000,0.0000,,0.0395
ppo,ppo,following_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2806,1.0000,0.0059,,0.1223
ppo,ppo,frontal_approach,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,5.0000,0.2889,1.0000,0.0000,,0.0635
ppo,ppo,group_crossing,,,,,9,0.8889,0.1111,0.1111,0.0000,0.1111,5.3333,0.2772,0.9991,0.0227,,'-0.1317
ppo,ppo,head_on_corridor,,,,,6,1.0000,0.0000,0.0000,0.0000,0.0000,2.1667,0.2767,1.0000,0.0146,,0.0293
ppo,ppo,intersection_no_gesture,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2044,1.0000,0.0000,,0.0701
ppo,ppo,intersection_proceed,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2044,1.0000,0.0000,,0.0706
ppo,ppo,intersection_wait,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2044,1.0000,0.0000,,0.0706
ppo,ppo,join_group,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.1228,1.0000,0.0136,,'-0.0278
ppo,ppo,leading_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2806,1.0000,0.0059,,0.1546
ppo,ppo,leave_group,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,20.0000,0.1228,1.0000,0.0284,,'-0.2158
ppo,ppo,merging,,,,,6,0.0000,1.0000,0.0000,1.0000,1.0000,2.1667,1.0000,0.6296,0.0116,,'-0.3758
ppo,ppo,narrow_doorway,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2159
ppo,ppo,narrow_hallway,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.3333,1.0000,1.0000,0.0214,,'-0.3535
ppo,ppo,overtaking,,,,,6,1.0000,0.0000,0.0000,0.0000,0.0000,6.0000,0.3514,0.8110,0.0110,,'-0.1028
ppo,ppo,parallel_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,6.6667,0.2911,1.0000,0.0472,,'-0.0785
ppo,ppo,pedestrian_obstruction,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,3.0000,0.2889,1.0000,0.0000,,0.1123
ppo,ppo,pedestrian_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2894,1.0000,0.0324,,0.1327
ppo,ppo,perpendicular_traffic,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,3.6667,0.2139,1.0000,0.0059,,'-0.0218
ppo,ppo,robot_crowding,,,,,3,0.3333,0.6667,0.6667,0.0000,0.6667,3.0000,0.7261,0.7661,0.1356,,'-0.5310
ppo,ppo,robot_overtaking,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.2961,1.0000,0.0000,,0.0149
ppo,ppo,station_platform,,,,,3,0.0000,0.3333,0.3333,0.0000,0.3333,15.6667,1.0000,0.4606,0.0108,,'-0.5776
ppo,ppo,t_intersection,,,,,6,0.5000,0.5000,0.0000,0.5000,0.5000,0.0000,0.6256,0.9920,0.0284,,'-0.1478
prediction_mpc,prediction_mpc,accompanying_peer,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5950,1.0000,0.0028,,0.1335
prediction_mpc,prediction_mpc,blind_corner,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,19.6667,1.0000,1.0000,0.0000,,'-0.5912
prediction_mpc,prediction_mpc,bottleneck,,,,,12,0.7500,0.0000,0.0000,0.0000,0.0000,152.7500,0.7918,1.0000,0.0000,,'-0.4084
prediction_mpc,prediction_mpc,circular_crossing,,,,,3,0.6667,0.3333,0.3333,0.0000,0.3333,0.3333,0.4972,1.0000,0.2346,,'-0.0496
prediction_mpc,prediction_mpc,cross_trap,,,,,9,0.0000,1.0000,0.3333,0.6667,1.0000,30.3333,1.0000,1.0000,0.1902,,'-0.4433
prediction_mpc,prediction_mpc,crossing,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,46.6667,0.6656,1.0000,0.0037,,'-0.2224
prediction_mpc,prediction_mpc,crowd_navigation,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,74.6667,0.5050,1.0000,0.0260,,'-0.4645
prediction_mpc,prediction_mpc,doorway,,,,,9,0.0000,1.0000,0.0000,1.0000,1.0000,28.1111,1.0000,1.0000,0.0102,,'-0.6930
prediction_mpc,prediction_mpc,down_path,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5956,1.0000,0.0000,,0.1339
prediction_mpc,prediction_mpc,entering_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2072,1.0000,0.0000,,0.1163
prediction_mpc,prediction_mpc,entering_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3189,1.0000,0.0000,,0.1412
prediction_mpc,prediction_mpc,exiting_elevator,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,63.0000,0.2411,1.0000,0.0000,,'-0.4729
prediction_mpc,prediction_mpc,exiting_room,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3056,1.0000,0.0000,,0.0902
prediction_mpc,prediction_mpc,following_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6017,1.0000,0.0028,,0.1329
prediction_mpc,prediction_mpc,frontal_approach,,,,,3,0.0000,0.0000,0.0000,0.0000,0.0000,38.0000,1.0000,1.0000,0.0000,,'-0.5669
prediction_mpc,prediction_mpc,group_crossing,,,,,9,1.0000,0.0000,0.0000,0.0000,0.0000,32.6667,0.4039,1.0000,0.0145,,'-0.1814
prediction_mpc,prediction_mpc,head_on_corridor,,,,,6,1.0000,0.0000,0.0000,0.0000,0.0000,42.3333,0.6453,1.0000,0.0065,,'-0.2732
prediction_mpc,prediction_mpc,intersection_no_gesture,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4306,1.0000,0.0000,,0.1442
prediction_mpc,prediction_mpc,intersection_proceed,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4311,1.0000,0.0000,,0.1428
prediction_mpc,prediction_mpc,intersection_wait,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4311,1.0000,0.0000,,0.1428
prediction_mpc,prediction_mpc,join_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,9.0000,1.0000,1.0000,0.0171,,'-0.3938
prediction_mpc,prediction_mpc,leading_human,,,,,3,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5956,1.0000,0.0028,,0.1334
prediction_mpc,prediction_mpc,leave_group,,,,,3,0.0000,1.0000,1.0000,0.0000,1.0000,33.0000,1.0000,1.0000,0.0305,,'-0.7926
prediction_mpc,prediction_mpc,merging,,,,,6,0.0000,1.0000,0.0000,1.0000,1.0000,4.5000,1.0000,1.0000,0.0076,,'-0.5986
prediction_mpc,prediction_mpc,narrow_doorway,,,,,3,0.0000,1.0000,0.0000,1.0000,1.0000,0.0000,1.0000,1.0000,0.0000,,'-0.2334
