scenario_id,seed,classification,mean_success,mean_collision,planner_count
classic_head_on_corridor_medium,120,easy,1.0000,0.0000,4
classic_merging_low,111,hard,0.0000,0.0000,4
classic_merging_low,117,hard,0.0000,0.0000,4
classic_merging_low,119,hard,0.0000,0.0000,4
classic_merging_low,112,easy,1.0000,0.0000,4
classic_merging_low,113,easy,1.0000,0.0000,4
classic_merging_low,114,easy,1.0000,0.0000,4
classic_merging_low,115,easy,1.0000,0.0000,4
classic_merging_low,116,easy,1.0000,0.0000,4
classic_merging_low,118,easy,1.0000,0.0000,4
classic_merging_low,120,easy,1.0000,0.0000,4
classic_merging_medium,112,hard,0.2500,0.7500,4
classic_merging_medium,115,hard,0.2500,0.7500,4
classic_merging_medium,111,easy,1.0000,0.0000,4
classic_merging_medium,113,easy,1.0000,0.0000,4
classic_merging_medium,114,easy,1.0000,0.0000,4
classic_merging_medium,116,easy,1.0000,0.0000,4
classic_merging_medium,117,easy,1.0000,0.0000,4
classic_merging_medium,118,easy,1.0000,0.0000,4
classic_merging_medium,119,easy,1.0000,0.0000,4
classic_merging_medium,120,easy,1.0000,0.0000,4
classic_overtaking_low,120,hard,0.2500,0.7500,4
classic_overtaking_low,111,easy,1.0000,0.0000,4
classic_overtaking_low,112,easy,1.0000,0.0000,4
classic_overtaking_low,113,easy,1.0000,0.0000,4
classic_overtaking_low,114,easy,1.0000,0.0000,4
classic_overtaking_low,115,easy,1.0000,0.0000,4
classic_overtaking_low,116,easy,1.0000,0.0000,4
classic_overtaking_low,117,easy,1.0000,0.0000,4
classic_overtaking_low,118,easy,1.0000,0.0000,4
classic_overtaking_low,119,easy,1.0000,0.0000,4
classic_overtaking_medium,120,hard,0.2500,0.0000,4
classic_overtaking_medium,111,easy,1.0000,0.0000,4
classic_overtaking_medium,112,easy,1.0000,0.0000,4
classic_overtaking_medium,113,easy,1.0000,0.0000,4
classic_overtaking_medium,114,easy,1.0000,0.0000,4
classic_overtaking_medium,115,easy,1.0000,0.0000,4
classic_overtaking_medium,116,easy,1.0000,0.0000,4
classic_overtaking_medium,117,easy,1.0000,0.0000,4
classic_overtaking_medium,118,easy,1.0000,0.0000,4
classic_overtaking_medium,119,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,111,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,112,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,113,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,114,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,115,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,116,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,117,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,118,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,119,easy,1.0000,0.0000,4
classic_realworld_double_bottleneck_high,120,easy,1.0000,0.0000,4
classic_station_platform_medium,111,hard,0.0000,0.0000,4
classic_station_platform_medium,112,hard,0.0000,1.0000,4
classic_station_platform_medium,114,hard,0.0000,0.0000,4
